               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13235,             0.01673,                   0,          0.00056034,            0.071429,          0.00042612,          8.5195e-05,             0.11762,            0.019341,                   0,            0.070429,           0.0032857,           0.0032857
                   1,             0.12147,            0.019159,                   0,           0.0044839,            0.093407,           0.0015637,           0.0003793,             0.14265,              1.1858,                   0,            0.040363,           0.0065535,           0.0065535
                   2,               0.116,            0.022316,                   0,           0.0019555,            0.087912,          0.00089634,          0.00021113,             0.14004,              1.0536,                   0,            0.010232,           0.0097553,           0.0097553
                   3,             0.11199,            0.020867,                   0,           0.0020262,            0.031136,           0.0009068,          0.00020606,             0.14012,             0.94285,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.10926,               0.021,                   0,           0.0048921,            0.031136,           0.0014586,          0.00031687,             0.13396,             0.29672,                   0,            0.009703,            0.009703,            0.009703
                   5,              0.1025,            0.021724,                   0,             0.01653,             0.25275,           0.0092289,           0.0021138,             0.11749,            0.041952,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.095887,            0.020551,                   0,            0.042723,             0.47436,             0.03036,           0.0084105,            0.098366,            0.028906,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.094028,            0.020153,                   0,            0.078639,             0.41575,            0.054239,            0.014035,             0.08967,            0.023714,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.088726,            0.021706,                   0,             0.16214,             0.40293,             0.15027,            0.042331,            0.087818,            0.022567,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.083471,            0.020756,                   0,             0.18486,             0.32418,             0.15769,            0.042021,            0.085626,            0.020768,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.087689,            0.021856,                   0,             0.14358,             0.40842,             0.14239,            0.037143,              0.0847,            0.022526,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.08115,            0.021081,                   0,             0.19691,             0.32051,             0.17214,            0.052358,            0.080844,            0.021981,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.079247,            0.021229,                   0,             0.38315,             0.46886,             0.36364,             0.11901,            0.071889,            0.020678,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.074962,            0.021292,                   0,             0.29829,             0.47436,             0.25222,            0.088256,            0.070888,            0.020418,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.071923,             0.02049,                   0,             0.26434,             0.40476,             0.22582,             0.06522,            0.069654,            0.020149,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.074727,            0.020125,                   0,             0.47127,             0.48352,             0.44923,             0.14423,            0.067018,            0.020251,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.072267,            0.019479,                   0,             0.53903,             0.49901,             0.50443,              0.1379,            0.070019,            0.019381,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.070967,            0.020171,                   0,             0.58768,              0.5641,             0.57785,              0.2166,            0.062759,            0.020438,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.066323,            0.020896,                   0,             0.55203,             0.56044,             0.55625,             0.18348,            0.063103,            0.018558,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.071351,              0.0196,                   0,             0.52611,              0.4575,             0.43315,             0.12784,            0.063958,            0.018281,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.063368,            0.020144,                   0,             0.56783,             0.57273,             0.52323,             0.15721,            0.062176,            0.018983,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.066842,             0.01964,                   0,             0.68816,             0.54579,             0.62358,             0.19533,            0.060361,             0.01838,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.066456,            0.020094,                   0,             0.65437,             0.58242,             0.57342,             0.19609,            0.059621,            0.018506,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.061931,            0.019448,                   0,             0.73401,             0.60145,             0.67559,             0.25986,            0.055995,            0.018396,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.061283,            0.019327,                   0,             0.71491,             0.61172,             0.67308,             0.22969,            0.059023,            0.017461,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.062367,            0.018587,                   0,             0.80227,             0.63187,             0.71881,             0.25649,            0.058307,            0.017476,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.064709,            0.019554,                   0,             0.72711,             0.62821,             0.69491,             0.26095,            0.056979,            0.017639,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.060317,             0.01909,                   0,             0.81888,             0.62933,             0.73569,             0.25525,            0.056738,            0.016978,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.060255,            0.019265,                   0,              0.8063,             0.64469,             0.74565,             0.31407,            0.053226,            0.016954,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.059259,            0.019274,                   0,              0.7716,             0.65385,             0.73705,             0.28818,            0.054125,            0.016656,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.059934,            0.017917,                   0,             0.77486,             0.65201,             0.72724,             0.28855,            0.054437,            0.017138,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.056329,            0.017552,                   0,             0.72414,             0.64905,             0.70169,             0.27318,            0.056323,             0.01667,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.057866,            0.018685,                   0,             0.73616,             0.65201,             0.68962,              0.2876,            0.055297,            0.016409,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.057798,            0.018425,                   0,             0.78928,             0.70658,             0.76525,               0.325,            0.051609,            0.016245,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.058498,            0.017807,                   0,             0.85871,             0.69963,             0.80078,             0.33776,            0.051062,            0.016124,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.055928,            0.017498,                   0,             0.82847,              0.7165,             0.80123,             0.34568,             0.04985,            0.016275,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.056682,            0.017708,                   0,             0.81224,             0.71306,             0.79065,             0.34609,            0.048785,            0.016683,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.055406,            0.017769,                   0,             0.84574,             0.66484,             0.77106,             0.31296,            0.050509,              0.0166,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.054733,            0.016995,                   0,             0.80254,             0.64286,             0.74229,             0.28837,            0.057176,            0.015926,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.05558,            0.016058,                   0,             0.86393,             0.70147,             0.79945,             0.31444,            0.053318,             0.01562,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.055087,            0.018811,                   0,             0.77198,             0.66667,              0.7491,             0.26261,            0.055075,            0.015635,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.051988,            0.016545,                   0,             0.77462,             0.68498,             0.73445,             0.25109,            0.055146,            0.015802,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.056038,            0.018024,                   0,             0.86721,             0.71768,             0.80669,             0.36487,            0.048053,            0.015477,                   0,            0.005941,            0.005941,            0.005941
