               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12179,           0.0076068,                   0,          2.4444e-05,           0.0092515,          1.2495e-05,          2.4342e-06,             0.11419,           0.0072665,                   0,            0.070067,           0.0033259,           0.0033259
                   1,             0.10696,           0.0060132,                   0,          0.00011622,           0.0012616,           1.581e-05,          3.1928e-06,             0.10215,           0.0065967,                   0,            0.040001,           0.0065933,           0.0065933
                   2,            0.094177,           0.0057612,                   0,          0.00045778,             0.17325,          0.00039971,          8.1922e-05,            0.085414,            0.007407,                   0,           0.0098688,           0.0097947,           0.0097947
                   3,            0.085438,           0.0070228,                   0,           0.0014944,              0.5656,            0.023925,           0.0046267,            0.073746,           0.0086007,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.080896,           0.0068474,                   0,           0.0017622,             0.66695,            0.058511,            0.011532,            0.069293,           0.0082562,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.077058,           0.0072237,                   0,             0.32432,            0.043599,             0.11305,            0.025465,            0.067053,           0.0077235,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.07227,           0.0071985,                   0,              0.4664,             0.16945,             0.21982,            0.056661,            0.061944,           0.0079536,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.070537,            0.006589,                   0,             0.39515,              0.2069,             0.19101,             0.04663,            0.065195,           0.0073158,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.069552,           0.0061759,                   0,             0.52479,             0.28764,             0.29173,            0.075389,            0.061055,             0.00722,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.067643,           0.0067575,                   0,             0.37315,             0.38898,             0.25911,            0.064637,            0.062255,           0.0061721,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.066697,           0.0061344,                   0,             0.43783,             0.31203,             0.28229,            0.070243,            0.060559,           0.0067826,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.068844,           0.0059677,                   0,              0.4245,             0.38772,             0.31339,             0.08236,            0.059184,           0.0061233,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.067674,           0.0054597,                   0,             0.38741,             0.40849,             0.30993,            0.080826,            0.058049,           0.0060195,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.061786,           0.0053087,                   0,             0.49649,             0.42431,             0.39204,             0.10125,            0.058623,           0.0059147,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.063723,           0.0050482,                   0,             0.52406,             0.46804,             0.39283,             0.10607,            0.057657,           0.0058993,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.063235,           0.0054438,                   0,             0.52538,             0.48597,             0.40924,             0.11192,            0.056176,           0.0055567,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.063555,           0.0051722,                   0,             0.47987,             0.46341,             0.38929,            0.099794,            0.057813,           0.0052511,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.062995,           0.0047561,                   0,             0.62156,             0.46827,             0.46484,             0.12291,            0.056928,           0.0051531,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.063254,           0.0052032,                   0,             0.50422,             0.46959,             0.34223,            0.089952,            0.058105,           0.0048269,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.062671,           0.0053114,                   0,              0.5323,             0.48444,             0.42903,             0.11505,            0.055738,           0.0051024,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.058172,           0.0047474,                   0,             0.61649,             0.48823,             0.47327,             0.12158,              0.0553,           0.0051418,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.064658,           0.0051911,                   0,             0.55246,             0.48738,             0.42931,             0.11883,            0.055174,           0.0049532,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.060861,           0.0048066,                   0,             0.51339,               0.504,             0.38783,            0.097252,            0.056165,           0.0051616,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.063441,           0.0049565,                   0,             0.50372,             0.47561,             0.38736,            0.097222,            0.055456,           0.0052168,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.059587,           0.0045226,                   0,             0.60073,             0.50617,             0.45984,             0.13096,            0.055373,           0.0046125,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.059533,           0.0047908,                   0,             0.57901,             0.49495,              0.4687,             0.12443,            0.054913,           0.0047072,                   0,            0.007624,            0.007624,            0.007624
